Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
16-Sep-24,Monday,September,Q3,2024,EQ,2955.10,2961.80,2929.50,2945.25,2944.35,2942.70,2944.45,3217.60,2220.30,2740887.00,127429.00
13-Sep-24,Friday,September,Q3,2024,EQ,2952.80,2966.30,2939.00,2959.60,2946.50,2945.25,2951.65,3217.60,2220.30,4355664.00,133244.00
12-Sep-24,Thursday,September,Q3,2024,EQ,2914.00,2972.00,2891.75,2903.00,2953.00,2959.60,2930.24,3217.60,2220.30,11174688.00,365694.00
11-Sep-24,Wednesday,September,Q3,2024,EQ,2926.10,2937.50,2895.10,2923.05,2904.45,2903.00,2917.10,3217.60,2220.30,4880101.00,254431.00
10-Sep-24,Tuesday,September,Q3,2024,EQ,2921.00,2944.10,2915.15,2924.90,2924.00,2923.05,2928.75,3217.60,2220.30,5384130.00,186858.00
09-Sep-24,Monday,September,Q3,2024,EQ,2933.00,2939.85,2911.20,2929.65,2927.00,2924.90,2923.84,3217.60,2220.30,4505149.00,179506.00
06-Sep-24,Friday,September,Q3,2024,EQ,2985.00,2994.00,2923.25,2985.95,2930.95,2929.65,2938.97,3217.60,2220.30,9697114.00,447718.00
05-Sep-24,Thursday,September,Q3,2024,EQ,3038.10,3051.55,2974.10,3029.10,2991.00,2985.95,3007.10,3217.60,2220.30,8132084.00,343225.00
04-Sep-24,Wednesday,September,Q3,2024,EQ,3001.40,3035.00,2999.00,3018.25,3031.95,3029.10,3023.30,3217.60,2220.30,5991652.00,252191.00
03-Sep-24,Tuesday,September,Q3,2024,EQ,3042.50,3046.00,3015.00,3032.50,3018.90,3018.25,3026.09,3217.60,2220.30,5461900.00,226578.00
02-Sep-24,Monday,September,Q3,2024,EQ,3021.75,3053.60,3013.25,3019.25,3034.40,3032.50,3034.10,3217.60,2220.30,5620426.00,280541.00
30-Aug-24,Friday,August,Q3,2024,EQ,3068.00,3079.45,3006.65,3041.85,3024.95,3019.25,3026.71,3217.60,2220.30,20810365.00,599570.00
29-Aug-24,Thursday,August,Q3,2024,EQ,3006.20,3074.00,2988.00,2996.60,3042.90,3041.85,3038.57,3217.60,2220.30,19167679.00,570843.00
28-Aug-24,Wednesday,August,Q3,2024,EQ,3010.00,3014.95,2986.00,3000.90,2999.00,2996.60,2999.57,3217.60,2220.30,4805143.00,200883.00
27-Aug-24,Tuesday,August,Q3,2024,EQ,3021.00,3026.95,2998.90,3025.20,3001.00,3000.90,3008.12,3217.60,2220.30,3125578.00,101024.00
26-Aug-24,Monday,August,Q3,2024,EQ,3013.95,3046.00,3006.00,2999.95,3021.20,3025.20,3028.80,3217.60,2220.30,4408057.00,237540.00
23-Aug-24,Friday,August,Q3,2024,EQ,3007.50,3022.65,2996.85,2996.25,2996.85,2999.95,3007.21,3217.60,2220.30,4624827.00,168002.00
22-Aug-24,Thursday,August,Q3,2024,EQ,3006.00,3013.00,2981.30,2997.35,2996.50,2996.25,2994.88,3217.60,2220.30,5222891.00,233216.00
21-Aug-24,Wednesday,August,Q3,2024,EQ,2986.50,3015.75,2980.00,2991.90,2999.00,2997.35,3001.42,3217.60,2220.30,3884998.00,141353.00
20-Aug-24,Tuesday,August,Q3,2024,EQ,2994.45,3007.85,2980.05,2976.80,2986.50,2991.90,2996.98,3217.60,2220.30,4205904.00,175516.00
19-Aug-24,Monday,August,Q3,2024,EQ,2965.00,2996.60,2961.00,2956.40,2979.00,2976.80,2980.25,3217.60,2220.30,6898871.00,200328.00
